Matrix Size, Threads, Function, Implementation, Execution Time
16.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
16.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
16.000000, 0, SYMMETRY, OMP, 0.003000
16.000000, 0, TRANSPOSITION, OMP, 0.000000
32.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
32.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
32.000000, 0, SYMMETRY, OMP, 0.000000
32.000000, 0, TRANSPOSITION, OMP, 0.000000
64.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
64.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
64.000000, 0, SYMMETRY, OMP, 0.000000
64.000000, 0, TRANSPOSITION, OMP, 0.000000
128.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
128.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
128.000000, 0, SYMMETRY, OMP, 0.001000
128.000000, 0, TRANSPOSITION, OMP, 0.000000
256.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
256.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
256.000000, 0, SYMMETRY, OMP, 0.000000
256.000000, 0, TRANSPOSITION, OMP, 0.000000
512.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
512.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
512.000000, 0, SYMMETRY, OMP, 0.002000
512.000000, 0, TRANSPOSITION, OMP, 0.000000
1024.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
1024.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
1024.000000, 0, SYMMETRY, OMP, 0.002000
1024.000000, 0, TRANSPOSITION, OMP, 0.002000
2048.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.011000
2048.000000, 0, TRANSPOSITION, IMPLICIT, 0.014000
2048.000000, 0, SYMMETRY, OMP, 0.009000
2048.000000, 0, TRANSPOSITION, OMP, 0.004000
16.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
16.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
16.000000, 0, SYMMETRY, OMP, 0.000000
16.000000, 0, TRANSPOSITION, OMP, 0.000000
32.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
32.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
32.000000, 0, SYMMETRY, OMP, 0.000000
32.000000, 0, TRANSPOSITION, OMP, 0.000000
64.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
64.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
64.000000, 0, SYMMETRY, OMP, 0.000000
64.000000, 0, TRANSPOSITION, OMP, 0.000000
128.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
128.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
128.000000, 0, SYMMETRY, OMP, 0.000000
128.000000, 0, TRANSPOSITION, OMP, 0.000000
256.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
256.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
256.000000, 0, SYMMETRY, OMP, 0.001000
256.000000, 0, TRANSPOSITION, OMP, 0.000000
512.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
512.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
512.000000, 0, SYMMETRY, OMP, 0.001000
512.000000, 0, TRANSPOSITION, OMP, 0.000000
1024.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.001000
1024.000000, 0, TRANSPOSITION, IMPLICIT, 0.002000
1024.000000, 0, SYMMETRY, OMP, 0.002000
1024.000000, 0, TRANSPOSITION, OMP, 0.003000
2048.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.016000
2048.000000, 0, TRANSPOSITION, IMPLICIT, 0.008000
2048.000000, 0, SYMMETRY, OMP, 0.004000
2048.000000, 0, TRANSPOSITION, OMP, 0.004000
16.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
16.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
16.000000, 0, SYMMETRY, OMP, 0.001000
16.000000, 0, TRANSPOSITION, OMP, 0.000000
32.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
32.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
32.000000, 0, SYMMETRY, OMP, 0.000000
32.000000, 0, TRANSPOSITION, OMP, 0.000000
64.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
64.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
64.000000, 0, SYMMETRY, OMP, 0.000000
64.000000, 0, TRANSPOSITION, OMP, 0.000000
128.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
128.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
128.000000, 0, SYMMETRY, OMP, 0.000000
128.000000, 0, TRANSPOSITION, OMP, 0.000000
256.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
256.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
256.000000, 0, SYMMETRY, OMP, 0.001000
256.000000, 0, TRANSPOSITION, OMP, 0.000000
512.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.001000
512.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
512.000000, 0, SYMMETRY, OMP, 0.001000
512.000000, 0, TRANSPOSITION, OMP, 0.001000
1024.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
1024.000000, 0, TRANSPOSITION, IMPLICIT, 0.001000
1024.000000, 0, SYMMETRY, OMP, 0.000000
1024.000000, 0, TRANSPOSITION, OMP, 0.007000
2048.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.012000
2048.000000, 0, TRANSPOSITION, IMPLICIT, 0.009000
2048.000000, 0, SYMMETRY, OMP, 0.019000
2048.000000, 0, TRANSPOSITION, OMP, 0.003000
16.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
16.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
16.000000, 0, SYMMETRY, OMP, 0.000000
16.000000, 0, TRANSPOSITION, OMP, 0.000000
32.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
32.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
32.000000, 0, SYMMETRY, OMP, 0.000000
32.000000, 0, TRANSPOSITION, OMP, 0.000000
64.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
64.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
64.000000, 0, SYMMETRY, OMP, 0.001000
64.000000, 0, TRANSPOSITION, OMP, 0.000000
128.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
128.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
128.000000, 0, SYMMETRY, OMP, 0.000000
128.000000, 0, TRANSPOSITION, OMP, 0.000000
256.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
256.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
256.000000, 0, SYMMETRY, OMP, 0.000000
256.000000, 0, TRANSPOSITION, OMP, 0.000000
512.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.001000
512.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
512.000000, 0, SYMMETRY, OMP, 0.001000
512.000000, 0, TRANSPOSITION, OMP, 0.000000
1024.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.002000
1024.000000, 0, TRANSPOSITION, IMPLICIT, 0.001000
1024.000000, 0, SYMMETRY, OMP, 0.003000
1024.000000, 0, TRANSPOSITION, OMP, 0.002000
2048.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.019000
2048.000000, 0, TRANSPOSITION, IMPLICIT, 0.019000
2048.000000, 0, SYMMETRY, OMP, 0.013000
2048.000000, 0, TRANSPOSITION, OMP, 0.003000
16.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
16.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
16.000000, 0, SYMMETRY, OMP, 0.000000
16.000000, 0, TRANSPOSITION, OMP, 0.000000
32.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
32.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
32.000000, 0, SYMMETRY, OMP, 0.000000
32.000000, 0, TRANSPOSITION, OMP, 0.000000
64.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
64.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
64.000000, 0, SYMMETRY, OMP, 0.000000
64.000000, 0, TRANSPOSITION, OMP, 0.000000
128.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
128.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
128.000000, 0, SYMMETRY, OMP, 0.000000
128.000000, 0, TRANSPOSITION, OMP, 0.000000
256.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
256.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
256.000000, 0, SYMMETRY, OMP, 0.000000
256.000000, 0, TRANSPOSITION, OMP, 0.000000
512.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.000000
512.000000, 0, TRANSPOSITION, IMPLICIT, 0.000000
512.000000, 0, SYMMETRY, OMP, 0.001000
512.000000, 0, TRANSPOSITION, OMP, 0.000000
1024.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.002000
1024.000000, 0, TRANSPOSITION, IMPLICIT, 0.001000
1024.000000, 0, SYMMETRY, OMP, 0.001000
1024.000000, 0, TRANSPOSITION, OMP, 0.003000
2048.000000, 0, TRANSPOSITION, SEQUENTIAL, 0.015000
2048.000000, 0, TRANSPOSITION, IMPLICIT, 0.018000
2048.000000, 0, SYMMETRY, OMP, 0.006000
2048.000000, 0, TRANSPOSITION, OMP, 0.004000
