Matrix Size, Threads, Function, Implementation, Execution Time
16, 2, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 2, TRANSPOSITION, IMPLICIT, 0.000001
16, 2, SYMMETRY, OMP, 0.000223
16, 2, TRANSPOSITION, OMP, 0.000007
16, 2, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 2, TRANSPOSITION, IMPLICIT, 0.000001
16, 2, SYMMETRY, OMP, 0.000029
16, 2, TRANSPOSITION, OMP, 0.000014
16, 2, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 2, TRANSPOSITION, IMPLICIT, 0.000001
16, 2, SYMMETRY, OMP, 0.000029
16, 2, TRANSPOSITION, OMP, 0.000011
16, 2, TRANSPOSITION, SEQUENTIAL, 0.000017
16, 2, TRANSPOSITION, IMPLICIT, 0.000000
16, 2, SYMMETRY, OMP, 0.000026
16, 2, TRANSPOSITION, OMP, 0.000008
16, 2, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 2, TRANSPOSITION, IMPLICIT, 0.000000
16, 2, SYMMETRY, OMP, 0.000020
16, 2, TRANSPOSITION, OMP, 0.000004
32, 2, TRANSPOSITION, SEQUENTIAL, 0.000001
32, 2, TRANSPOSITION, IMPLICIT, 0.000001
32, 2, SYMMETRY, OMP, 0.000023
32, 2, TRANSPOSITION, OMP, 0.000013
32, 2, TRANSPOSITION, SEQUENTIAL, 0.000000
32, 2, TRANSPOSITION, IMPLICIT, 0.000001
32, 2, SYMMETRY, OMP, 0.000022
32, 2, TRANSPOSITION, OMP, 0.000016
32, 2, TRANSPOSITION, SEQUENTIAL, 0.000000
32, 2, TRANSPOSITION, IMPLICIT, 0.000001
32, 2, SYMMETRY, OMP, 0.000022
32, 2, TRANSPOSITION, OMP, 0.000017
32, 2, TRANSPOSITION, SEQUENTIAL, 0.000000
32, 2, TRANSPOSITION, IMPLICIT, 0.000001
32, 2, SYMMETRY, OMP, 0.000022
32, 2, TRANSPOSITION, OMP, 0.000016
32, 2, TRANSPOSITION, SEQUENTIAL, 0.000000
32, 2, TRANSPOSITION, IMPLICIT, 0.000001
32, 2, SYMMETRY, OMP, 0.000022
32, 2, TRANSPOSITION, OMP, 0.000017
64, 2, TRANSPOSITION, SEQUENTIAL, 0.000002
64, 2, TRANSPOSITION, IMPLICIT, 0.000002
64, 2, SYMMETRY, OMP, 0.000045
64, 2, TRANSPOSITION, OMP, 0.000030
64, 2, TRANSPOSITION, SEQUENTIAL, 0.000002
64, 2, TRANSPOSITION, IMPLICIT, 0.000002
64, 2, SYMMETRY, OMP, 0.000046
64, 2, TRANSPOSITION, OMP, 0.000030
64, 2, TRANSPOSITION, SEQUENTIAL, 0.000002
64, 2, TRANSPOSITION, IMPLICIT, 0.000002
64, 2, SYMMETRY, OMP, 0.000044
64, 2, TRANSPOSITION, OMP, 0.000033
64, 2, TRANSPOSITION, SEQUENTIAL, 0.000002
64, 2, TRANSPOSITION, IMPLICIT, 0.000002
64, 2, SYMMETRY, OMP, 0.000045
64, 2, TRANSPOSITION, OMP, 0.000033
64, 2, TRANSPOSITION, SEQUENTIAL, 0.000002
64, 2, TRANSPOSITION, IMPLICIT, 0.000002
64, 2, SYMMETRY, OMP, 0.000044
64, 2, TRANSPOSITION, OMP, 0.000030
128, 2, TRANSPOSITION, SEQUENTIAL, 0.000011
128, 2, TRANSPOSITION, IMPLICIT, 0.000010
128, 2, SYMMETRY, OMP, 0.000089
128, 2, TRANSPOSITION, OMP, 0.000036
128, 2, TRANSPOSITION, SEQUENTIAL, 0.000009
128, 2, TRANSPOSITION, IMPLICIT, 0.000010
128, 2, SYMMETRY, OMP, 0.000078
128, 2, TRANSPOSITION, OMP, 0.000043
128, 2, TRANSPOSITION, SEQUENTIAL, 0.000009
128, 2, TRANSPOSITION, IMPLICIT, 0.000010
128, 2, SYMMETRY, OMP, 0.000078
128, 2, TRANSPOSITION, OMP, 0.000044
128, 2, TRANSPOSITION, SEQUENTIAL, 0.000009
128, 2, TRANSPOSITION, IMPLICIT, 0.000010
128, 2, SYMMETRY, OMP, 0.000076
128, 2, TRANSPOSITION, OMP, 0.000045
128, 2, TRANSPOSITION, SEQUENTIAL, 0.000009
128, 2, TRANSPOSITION, IMPLICIT, 0.000010
128, 2, SYMMETRY, OMP, 0.000092
128, 2, TRANSPOSITION, OMP, 0.000030
256, 2, TRANSPOSITION, SEQUENTIAL, 0.000055
256, 2, TRANSPOSITION, IMPLICIT, 0.000043
256, 2, SYMMETRY, OMP, 0.000214
256, 2, TRANSPOSITION, OMP, 0.000111
256, 2, TRANSPOSITION, SEQUENTIAL, 0.000038
256, 2, TRANSPOSITION, IMPLICIT, 0.000043
256, 2, SYMMETRY, OMP, 0.000193
256, 2, TRANSPOSITION, OMP, 0.000098
256, 2, TRANSPOSITION, SEQUENTIAL, 0.000038
256, 2, TRANSPOSITION, IMPLICIT, 0.000038
256, 2, SYMMETRY, OMP, 0.000205
256, 2, TRANSPOSITION, OMP, 0.000102
256, 2, TRANSPOSITION, SEQUENTIAL, 0.000039
256, 2, TRANSPOSITION, IMPLICIT, 0.000043
256, 2, SYMMETRY, OMP, 0.000192
256, 2, TRANSPOSITION, OMP, 0.000105
256, 2, TRANSPOSITION, SEQUENTIAL, 0.000039
256, 2, TRANSPOSITION, IMPLICIT, 0.000049
256, 2, SYMMETRY, OMP, 0.000165
256, 2, TRANSPOSITION, OMP, 0.000107
512, 2, TRANSPOSITION, SEQUENTIAL, 0.000380
512, 2, TRANSPOSITION, IMPLICIT, 0.000380
512, 2, SYMMETRY, OMP, 0.000907
512, 2, TRANSPOSITION, OMP, 0.000534
512, 2, TRANSPOSITION, SEQUENTIAL, 0.000387
512, 2, TRANSPOSITION, IMPLICIT, 0.000381
512, 2, SYMMETRY, OMP, 0.000444
512, 2, TRANSPOSITION, OMP, 0.000453
512, 2, TRANSPOSITION, SEQUENTIAL, 0.000385
512, 2, TRANSPOSITION, IMPLICIT, 0.000381
512, 2, SYMMETRY, OMP, 0.000434
512, 2, TRANSPOSITION, OMP, 0.000432
512, 2, TRANSPOSITION, SEQUENTIAL, 0.000383
512, 2, TRANSPOSITION, IMPLICIT, 0.000384
512, 2, SYMMETRY, OMP, 0.000435
512, 2, TRANSPOSITION, OMP, 0.000433
512, 2, TRANSPOSITION, SEQUENTIAL, 0.000381
512, 2, TRANSPOSITION, IMPLICIT, 0.000385
512, 2, SYMMETRY, OMP, 0.000431
