Matrix Size,Threads,Function,Implementation,Execution Time
16,96,SYMMETRY,SEQUENTIAL,0.000001252
16,96,TRANSPOSITION,SEQUENTIAL,0.000000991
16,96,SYMMETRY,IMPLICIT,0.000001188
16,96,TRANSPOSITION,IMPLICIT,0.000000749
16,96,SYMMETRY,OMP,0.015545394
16,96,TRANSPOSITION,OMP,0.009709638
16,96,SYMMETRY,SEQUENTIAL,0.000000320
16,96,TRANSPOSITION,SEQUENTIAL,0.000000387
16,96,SYMMETRY,IMPLICIT,0.000000354
16,96,TRANSPOSITION,IMPLICIT,0.000000194
16,96,SYMMETRY,OMP,0.009491585
16,96,TRANSPOSITION,OMP,0.009450622
16,96,SYMMETRY,SEQUENTIAL,0.000000257
16,96,TRANSPOSITION,SEQUENTIAL,0.000001986
16,96,SYMMETRY,IMPLICIT,0.000000294
16,96,TRANSPOSITION,IMPLICIT,0.000000179
16,96,SYMMETRY,OMP,0.004764523
16,96,TRANSPOSITION,OMP,0.000050273
16,96,SYMMETRY,SEQUENTIAL,0.000000224
16,96,TRANSPOSITION,SEQUENTIAL,0.000000421
16,96,SYMMETRY,IMPLICIT,0.000000216
16,96,TRANSPOSITION,IMPLICIT,0.000000186
16,96,SYMMETRY,OMP,0.000045691
16,96,TRANSPOSITION,OMP,0.000042804
16,96,SYMMETRY,SEQUENTIAL,0.000000194
16,96,TRANSPOSITION,SEQUENTIAL,0.000001185
16,96,SYMMETRY,IMPLICIT,0.000000197
16,96,TRANSPOSITION,IMPLICIT,0.000000183
16,96,SYMMETRY,OMP,0.000042699
16,96,TRANSPOSITION,OMP,0.000035804
16,96,TRANSPOSITION,SEQUENTIAL,0.000002123
16,96,TRANSPOSITION,IMPLICIT,0.000000179
16,96,TRANSPOSITION,OMP,0.000034221
16,96,TRANSPOSITION,SEQUENTIAL,0.000001546
16,96,TRANSPOSITION,IMPLICIT,0.000000175
16,96,TRANSPOSITION,OMP,0.000037197
16,96,TRANSPOSITION,SEQUENTIAL,0.000000719
16,96,TRANSPOSITION,IMPLICIT,0.000000171
16,96,TRANSPOSITION,OMP,0.000036176
16,96,TRANSPOSITION,SEQUENTIAL,0.000016902
16,96,TRANSPOSITION,IMPLICIT,0.000000179
16,96,TRANSPOSITION,OMP,0.000034783
16,96,TRANSPOSITION,SEQUENTIAL,0.000000842
16,96,TRANSPOSITION,IMPLICIT,0.000000171
16,96,TRANSPOSITION,OMP,0.000031933
32,96,SYMMETRY,SEQUENTIAL,0.000000700
32,96,TRANSPOSITION,SEQUENTIAL,0.000000991
32,96,SYMMETRY,IMPLICIT,0.000000928
32,96,TRANSPOSITION,IMPLICIT,0.000000630
32,96,SYMMETRY,OMP,0.000322081
32,96,TRANSPOSITION,OMP,0.000045951
32,96,SYMMETRY,SEQUENTIAL,0.000000797
32,96,TRANSPOSITION,SEQUENTIAL,0.000000786
32,96,SYMMETRY,IMPLICIT,0.000000928
32,96,TRANSPOSITION,IMPLICIT,0.000000589
32,96,SYMMETRY,OMP,0.000047173
32,96,TRANSPOSITION,OMP,0.000048507
32,96,SYMMETRY,SEQUENTIAL,0.000000536
32,96,TRANSPOSITION,SEQUENTIAL,0.000000753
32,96,SYMMETRY,IMPLICIT,0.000000857
32,96,TRANSPOSITION,IMPLICIT,0.000000570
32,96,SYMMETRY,OMP,0.000047322
32,96,TRANSPOSITION,OMP,0.000053860
32,96,SYMMETRY,SEQUENTIAL,0.000000525
32,96,TRANSPOSITION,SEQUENTIAL,0.000000738
32,96,SYMMETRY,IMPLICIT,0.000000797
32,96,TRANSPOSITION,IMPLICIT,0.000000585
32,96,SYMMETRY,OMP,0.000046600
32,96,TRANSPOSITION,OMP,0.000050850
32,96,SYMMETRY,SEQUENTIAL,0.000000563
32,96,TRANSPOSITION,SEQUENTIAL,0.000000738
32,96,SYMMETRY,IMPLICIT,0.000000786
32,96,TRANSPOSITION,IMPLICIT,0.000000574
32,96,SYMMETRY,OMP,0.000047084
32,96,TRANSPOSITION,OMP,0.000053972
32,96,TRANSPOSITION,SEQUENTIAL,0.000000793
32,96,TRANSPOSITION,IMPLICIT,0.000000585
32,96,TRANSPOSITION,OMP,0.000042684
32,96,TRANSPOSITION,SEQUENTIAL,0.000000797
32,96,TRANSPOSITION,IMPLICIT,0.000000585
32,96,TRANSPOSITION,OMP,0.000042826
32,96,TRANSPOSITION,SEQUENTIAL,0.000000782
32,96,TRANSPOSITION,IMPLICIT,0.000000577
32,96,TRANSPOSITION,OMP,0.000042446
32,96,TRANSPOSITION,SEQUENTIAL,0.000000730
32,96,TRANSPOSITION,IMPLICIT,0.000000581
32,96,TRANSPOSITION,OMP,0.000044648
32,96,TRANSPOSITION,SEQUENTIAL,0.000000842
32,96,TRANSPOSITION,IMPLICIT,0.000000574
32,96,TRANSPOSITION,OMP,0.000042539
64,96,SYMMETRY,SEQUENTIAL,0.000002101
64,96,TRANSPOSITION,SEQUENTIAL,0.000003390
64,96,SYMMETRY,IMPLICIT,0.000003245
64,96,TRANSPOSITION,IMPLICIT,0.000002891
64,96,SYMMETRY,OMP,0.000626460
64,96,TRANSPOSITION,OMP,0.000072237
64,96,SYMMETRY,SEQUENTIAL,0.000002343
